Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio
3.6,3.7,7.7,408,13.5,0.8,3.3,11.1,8.605,0.145,2.943,2.153,0.547,5.756,0.049,0.3
5.8,4.4,7.6,648,12.5,1.7,5.2,11.2,8.28,0.14,3.684,3.268,0.65,5.91,0.063,0.5
2.9,7.7,7.4,564,11.6,8.8,5.9,4.4,8.025,0.13,3.12,2.583,0.14,6.324,0.01,2.8
1.9,7,7.5,387,12.6,1.3,5.5,14.6,7.293,0.186,3.828,3.253,0.296,6.072,0.093,0.3
4.5,7,7.6,394,12.5,0.8,4.3,17,8.343,0.159,2.557,2.519,0.343,6.414,0.053,0.3
1.4,6.8,7.8,411,13.3,1.5,4.1,8.2,7.506,0.105,2.992,2.426,0.302,5.334,0.043,0.5
3.8,8.3,8,461,12.8,1.5,4.9,9,7.446,0.093,3.661,2.921,0.361,6.348,0.042,0.4
9.8,11.1,7.6,303,11.4,3.9,8.3,36.3,5.484,0.303,5.625,4.264,0.574,3.83,0.108,0.7
14.3,14,7.5,389,9.6,2.4,5.7,38,5.706,0.183,3.916,3.092,0.323,4.434,0.035,0.6
10,16.4,7.7,426,10.4,2,5.6,12.2,4.923,0.12,3.622,3.559,0.236,4.092,0.05,0.6
8.8,15.7,7.7,294,10.4,3.5,7.8,31.3,4.137,0.225,5.106,3.977,0.296,2.91,0.084,0.7
27.1,16.3,7.6,294,9.7,3.6,8.4,66.5,3.455,0.315,4.939,4.297,0.247,2.418,0.087,0.7
8.6,14.1,7.7,541,9.7,1.6,6.5,11,5.826,0.166,4.368,4.098,0.333,2.281,0.097,0.4
5.6,20.3,7.6,486,9.1,1.5,5.8,7.2,4.434,0.129,3.925,3.552,3.396,0.202,0.051,0.4
34,15.3,7.7,388,10.1,2.9,7.3,13.2,3.48,0.123,4.868,3.761,0.025,2.236,0.016,0.6
24.7,21.8,7.8,368,10.4,3.2,6.9,14,3.882,0.201,5.613,4.153,0.025,2.236,0.043,0.6
5,20,7.6,430,7.2,2.1,10.4,29.8,4.8,0.246,7.03,6.009,0.719,2.921,0.137,0.3
23.3,23.2,7.6,412,5.1,3.5,11.3,35.7,4.07,0.27,8.331,7.015,0.515,2.676,0.108,0.4
8.9,24.6,7.7,363,6.8,3.1,11.2,81,4.02,0.515,7.401,6.089,0.318,2.327,0.191,0.4
9.5,24.1,7.7,433,7.4,1.3,6.5,16.4,2.022,0.156,5.17,4.254,0.104,1.271,0.048,0.3
13.3,27.1,7.7,462,6.5,1.9,8.7,30.3,2.75,0.28,6.493,5.616,0.137,1.544,0.131,0.3
24.4,21.9,7.2,287,7,6.7,14.4,120,4.58,0.85,7.451,6.064,0.744,2.028,0.248,0.9
19.7,24.5,7.1,158,6.4,4.9,15.3,230,3.81,1.25,8.68,4.891,0.237,1.656,0.352,0.6
6.4,23.5,7.1,155,6.9,3,10.2,126,7.01,1.25,6.153,4.428,0.233,2.052,0.254,0.5
7.8,26.2,7.3,388,7.6,1.5,6.4,22,6.64,0.21,5.041,4.253,0.165,4.684,0.177,0.3
19.9,29.2,7.4,376,8.1,1.3,5.8,24,3.939,0.231,4.931,3.938,0.073,2.93,0.144,0.3
18.1,26.6,7.4,421,7.1,1.8,6.2,13,5.14,0.23,4.706,4.019,0.219,4.062,0.145,0.4
10.6,23.6,7.3,289,7.4,2,7.8,51.6,4.425,0.45,4.873,4.112,0.142,3.051,0.239,0.4
12.5,23.5,7.5,407,7.6,1.5,5.1,17.5,5.91,0.215,4.182,2.904,0.131,4.298,0.126,0.4
6.3,21.8,7.5,386,7.9,0.8,6,14.5,5.97,0.255,4.245,3.37,0.103,4.654,0.164,0.2
3.1,17.8,7.4,429,9.7,0.7,4.3,7.1,6.981,0.213,3.124,2.679,0.152,5.504,0.163,0.2
4,15.1,7.4,437,9.6,0.9,4.3,9.4,7.281,0.156,3.074,2.949,0.194,5.824,0.097,0.3
4.5,14.4,7.5,425,9,1.1,4.1,7.1,6.987,0.15,3.213,2.219,0.101,5.89,0.107,0.3
2.7,11.9,7.5,413,10.9,0.9,4.9,7.8,5.739,0.162,3.509,3.211,0.112,4.96,0.107,0.3
1.7,7.8,7.4,437,11.6,0.8,4,5.4,8.112,0.111,2.692,2.58,0.179,6.444,0.073,0.3
3.3,5.3,7.5,584,11.6,8.4,6.8,7.3,8.715,0.189,3.199,3.002,0.361,6.442,0.117,2.6
2.5,4.9,7.4,475,11.9,1.4,9.2,9.2,8.298,0.12,2.859,2.468,0.208,6.662,0.054,0.5
16.6,6.5,7.5,435,11.2,2.1,4,11.2,7.65,0.205,4.391,3.855,0.282,5.142,0.114,0.5
2.2,3.8,7.7,411,12.2,1.5,4.2,10.8,8.51,0.155,3.311,2.84,0.318,6.728,0.092,0.5
1.9,2.4,7.6,472,13.2,0.7,3.6,7.4,8.12,0.116,2.656,2.392,0.467,6.552,0.059,0.3
2.2,4.1,7.5,466,12,1.8,3.9,8.1,9.27,0.135,3.859,2.653,0.771,6.614,0.073,0.5
5.3,4.6,7.6,551,11.8,2.2,6.2,12.6,7.885,0.18,3.857,3.471,0.789,5.972,0.09,0.6
4.6,7.6,7.5,463,10.3,2.5,4.6,5.1,8.745,0.12,2.856,2.621,0.343,6.454,0.045,0.9
3,6.3,7.4,427,11.6,1.8,5.2,13,9.2,0.19,3.502,3.092,0.523,6.318,0.096,0.5
2.5,6.5,7.5,434,11.8,1.1,4.7,7.8,9.23,0.155,3.169,2.56,0.407,6.328,0.077,0.3
2.4,6.9,7.5,423,12.1,1.8,4.6,8.2,7.71,0.115,3.343,2.685,0.527,5.848,0.06,0.5
3,6.9,7.6,550,11,3.2,6,9.4,8.89,0.185,4.712,3.689,0.517,6.588,0.069,0.7
8.5,9.4,7.5,362,10.4,4.1,7.8,20.2,6.835,0.26,5.155,4.324,0.532,4.594,0.112,0.8
9.5,14.4,7.5,471,8.4,2.6,6,14.7,6.835,0.26,3.902,3.388,0.375,5.63,0.056,0.7
6.6,18.2,7.7,378,9.8,3.1,8.4,23.7,5.12,0.27,6.053,5.066,0.33,3.79,0.128,0.5
9.5,19.3,7.7,512,9.7,2,6.5,7.9,4.458,0.146,5.098,4.096,0.324,1.596,0.074,0.4
8.6,21.4,8.3,588,12,1.8,6.8,3.9,4.35,0.141,4.641,4.273,2.958,0.345,0.093,0.4
13.7,16,8.7,753,13.6,2.9,7.8,4.9,4.416,0.117,5.471,4.832,0.145,2.08,0.052,0.5
30.3,24.1,9.6,489,17.7,3,9,9.9,3.444,0.135,6.745,5.928,0.145,2.08,0.043,0.4
4.2,21.1,7.8,528,7.6,2.6,10.7,15,4.836,0.21,7.428,6.598,0.642,2.693,0.127,0.4
14.4,24.6,7.8,471,6.9,5.2,11.6,23.8,4.3,0.355,8.64,7.183,0.846,2.194,0.139,0.6
7.7,23.9,7.8,419,6.6,3.8,11.8,48.3,3.99,0.47,7.729,6.417,0.379,2.21,0.187,0.5
11.5,22.1,8,523,8.6,1.2,6.9,3.1,2.028,0.12,4.869,4.586,0.038,1.334,0.069,0.2
9.6,25.9,7.9,490,7.3,1.5,9,16.3,2.39,0.245,6.557,5.704,0.077,1.169,0.079,0.2
26.6,22.4,7.5,438,7.2,6.4,12.3,22.3,3.68,0.71,6.554,5.298,0.266,1.51,0.142,1
20.9,23.8,7.2,160,7,8.3,18.9,225,4.34,1.46,8.834,4.574,0.174,1.47,0.297,0.9
6.1,23.6,7.3,178,7.5,3.2,9.3,72,7.99,0.93,6.796,4.385,0.238,2.266,0.203,0.5
7.1,26,7.4,384,7.5,1.4,5.6,12.6,6.66,0.275,4.539,4.026,0.207,5.326,0.159,0.3
10.7,29.3,7.5,439,7.1,0.9,6.2,8.5,4.725,0.195,4.589,3.994,0.085,3.738,0.151,0.2
16.4,29.6,8.1,479,7.7,0.9,5.4,5.7,3.83,0.188,4.064,3.393,0.046,3.256,0.146,0.2
14,27,7.5,424,7.1,1.2,6.3,9.2,5.025,0.195,4.207,3.716,0.215,3.726,0.134,0.3
9.1,23.1,7.5,338,7.3,2.1,7.6,31.7,5.26,0.29,4.679,4.02,0.392,3.837,0.182,0.4
11.1,23.6,7.4,438,7.7,1,4.1,4.7,5.64,0.185,3.678,2.83,0.058,4.086,0.132,0.3
5.6,21.9,7.5,419,7.8,0.8,5.4,11.5,5.785,0.23,4.242,3.553,0.091,4.55,0.163,0.2
4.8,18.9,7.4,448,9.3,0.6,4.3,4.6,6.102,0.174,2.97,2.637,0.058,5.07,0.129,0.2
4.3,16.5,7.5,430,9.7,0.9,4.5,10.3,6.294,0.141,3.154,3.092,0.035,5.258,0.096,0.3
4.3,15.1,7.5,451,9.8,0.7,3.8,4.2,5.946,0.114,2.872,2.797,0.078,5.19,0.078,0.2
6.5,14.7,7.6,454,9.3,0.9,3.8,3.4,6.507,0.126,2.759,2.558,0.075,5.364,0.084,0.3
4,12.8,7.6,470,10.3,0.7,4.6,4.8,5.46,0.132,3.078,2.934,0.086,4.934,0.093,0.2
2.9,9,7.4,460,11.1,1.6,4.7,4.4,6.927,0.111,3.054,2.865,0.212,5.454,0.071,0.5
3.8,7.4,7.4,788,11.6,2.4,5.1,8.4,6.75,0.102,2.862,2.809,0.105,5.296,0.053,0.8
2.9,6.7,7.4,562,12.1,1.3,4.6,4.6,6.924,0.111,2.674,2.499,0.185,5.636,0.05,0.5
8.7,7.8,7.5,468,11,1.7,3.9,8.4,5.925,0.14,4.032,3.756,0.122,4.36,0.082,0.4
4.6,5.6,7.9,459,11.7,1.2,4,6.8,7.24,0.12,2.923,2.511,0.257,6.036,0.068,0.4
4.1,3.6,7.4,516,13.2,1,3.8,5.6,7.376,0.112,2.803,2.652,0.226,6.014,0.044,0.4
3.7,4.8,7.7,514,12.4,1.5,3.9,5.4,7.67,0.12,2.888,2.516,0.29,5.998,0.055,0.5
5.8,5.8,7.6,584,11.7,2.4,5.3,5.4,6.57,0.135,3.872,3.694,0.274,5.18,0.066,0.6
8.4,8,7.5,476,11.2,1.5,4.5,3.7,7.105,0.115,2.82,2.469,0.363,5.388,0.046,0.5
2.7,7.4,7.5,452,11.4,1.1,4.7,6.6,7.9,0.135,3.32,2.992,0.3,5.792,0.075,0.3
4.4,7.9,7.7,472,11.4,0.9,4.4,5.2,8.345,0.13,3.052,2.551,0.344,5.804,0.055,0.3
1.5,8.8,7.5,516,11.6,3,5.3,5,8.36,0.165,3.676,3.061,0.438,5.682,0.076,0.8
6.9,9.5,7.6,537,11.8,2.3,5.8,5.4,8.49,0.15,4.258,3.53,0.346,5.704,0.054,0.5
13.3,11.2,7.6,406,10.7,3,7.5,10.2,6.235,0.18,5.946,4.192,0.236,4.186,0.083,0.5
20.1,13.9,7.6,506,9.9,2.9,6.8,17.3,6.235,0.18,4.276,3.365,0.288,5.206,0.063,0.7
8.4,17.6,7.5,423,8.8,2.4,7.8,16,4.845,0.235,6.082,5.202,0.283,3.718,0.113,0.4
9.7,17.2,7.9,468,11.7,3.3,8.4,10.6,7.83,0.226,5.637,5.074,0.703,2.965,0.146,0.6
7.8,23,8.1,581,11.1,2.6,9,6,6.072,0.201,5.551,5.536,4.108,0.562,0.126,0.5
8.5,17,8.1,539,11.7,3.1,9.7,5.1,6.234,0.177,6.555,5.398,0.037,3.688,0.082,0.5
17.5,25.3,9.1,516,15.6,2.7,9,8.2,4.911,0.126,6.68,5.756,0.037,3.688,0.035,0.4
3.9,21.1,7.9,478,8.6,2.9,11.7,24,5.364,0.264,8.073,7.072,0.718,3.194,0.157,0.4
9.2,24,8.1,555,9.2,3.4,12.1,16,5.42,0.285,8.63,7.781,1.07,2.898,0.176,0.4
5.5,25,8,438,7.6,2.6,11,27.2,4.28,0.335,8.206,6.778,0.304,2.46,0.199,0.3
12.2,22.5,7.9,509,9.6,2,8.4,6.7,3.342,0.159,5.741,5.228,0.233,2.356,0.071,0.3
12.2,24.8,7.9,466,8.9,1.6,9.2,28.4,3.455,0.31,6.74,5.745,0.127,1.877,0.175,0.2
34.4,21.2,7.4,265,7.5,11,15.8,64,5.51,1.075,8.983,6.675,1.242,2.416,0.368,1.2
16.6,23.7,7.3,182,6.7,6.4,15.7,188.8,5.06,1.18,8.523,5.6,1.188,1.732,0.429,0.8
6.1,23,7.2,155,7.2,2.7,10.7,110,6.95,1.18,7.239,4.517,0.181,2.055,0.254,0.4
5.8,26,7.3,337,7.4,1.4,6.8,26.8,6.15,0.255,5.772,4.385,0.055,3.875,0.19,0.2
12.6,28.6,7.6,361,9.1,0.9,6.1,4.4,4.128,0.216,4.43,4.14,0.047,3.184,0.168,0.2
10.4,28.7,8.1,375,9.2,1,6.3,3,3.49,0.216,4.52,4.103,0.081,2.891,0.17,0.2
5.5,26.7,7.5,308,8.1,1,5.2,8.9,4.292,0.222,4.127,3.819,0.041,3.535,0.177,0.2
10.7,27,7.6,373,8.3,1.7,7,8,5.27,0.26,4.984,4.342,0.095,3.864,0.182,0.3
5.9,23.3,7.4,368,7.5,1.9,7.3,30.3,4.9,0.335,4.764,4.202,0.14,3.913,0.201,0.4
8.9,22.9,7.5,387,8.3,1.2,5,4.7,6.415,0.21,3.859,3.371,0.134,4.92,0.152,0.3
4.8,21.5,7.5,361,8.1,1.1,6,14.8,6.195,0.26,4.436,3.662,0.141,4.764,0.173,0.2
4.9,19.3,7.4,368,9.8,0.7,4.3,5.6,7.206,0.177,3.054,2.803,0.125,6.18,0.137,0.2
6.5,15.9,7.4,384,10.5,1.2,5.3,46.7,7.278,0.261,4.447,3.472,0.142,6.044,0.141,0.3
4.4,13,7.6,392,10.4,1.5,5.9,41.1,6.276,0.213,4.006,3.462,0.237,5.376,0.104,0.4
3.5,8.6,7.5,401,11.9,0.9,4.2,8.4,8.652,0.123,3.02,2.835,0.259,6.94,0.084,0.3
4.4,6.8,7.6,460,13.1,1.2,4.2,7,9.747,0.126,2.778,2.77,0.268,7.87,0.081,0.4
3.8,7,7.6,414,12.9,1.4,4.9,4.9,9.051,0.132,3.116,2.683,0.337,7.42,0.062,0.4
5.8,7.5,7.5,376,11.9,1.7,4.1,14.6,8.095,0.17,3.977,3.41,0.269,5.644,0.084,0.4
3.1,5.1,7.8,373,11.9,1.4,4.6,29,8.785,0.145,3.282,2.689,0.292,7.428,0.068,0.4
4,4.2,7.5,397,12.7,1.3,4.8,28.2,8.88,0.168,3.197,2.454,0.536,6.996,0.076,0.4
3.7,5,7.6,401,12.4,2.2,4.8,32,10.19,0.2,4.069,2.652,0.748,7.548,0.082,0.5
4.6,4.7,7.7,391,12.4,1.9,5.7,19.2,8.45,0.18,3.689,3.079,0.595,6.428,0.093,0.5
4.7,7.8,7.6,388,11.6,2,4.4,12.3,8.87,0.155,2.766,2.374,0.584,6.674,0.087,0.7
3.8,6.8,7.5,346,12,2,6.4,91.5,8.58,0.335,3.857,2.954,0.28,6.606,0.106,0.5
2.7,7.3,7.6,356,12,1.3,4.8,38.7,9.05,0.19,3.395,2.428,0.298,6.338,0.081,0.4
2,7.9,7.6,341,12.2,1.5,4.6,33.3,7.24,0.145,3.153,2.329,0.29,5.788,0.059,0.5
7.3,8.7,7.7,438,12.3,1.9,5,16,9.68,0.18,3.739,3.041,0.41,6.81,0.078,0.5
9.9,11.2,7.6,354,11.2,3.6,8.7,111,8.42,0.43,6.756,4.014,0.414,5.046,0.107,0.5
21.5,13.7,8,431,11,5.1,8.7,30,8.42,0.43,5.168,4.159,0.959,5.946,0.12,1
5.1,16.7,7.5,370,9.1,3.2,8.3,21.7,5.515,0.3,5.984,5.247,0.325,4.272,0.164,0.5
