Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,A250_A365,A254_A436,A254,S275-295,S350-400,SR,UV254,SUVA
5.3,26.2,8,268,7.7,0.8,5.8,26.8,4.713,0.273,4.901,3.999,0.055,3.809,0.18,0.2,6.38,24.7,0.022,0.0153,0.0193,0.793,0.111,2.78
47.6,28.3,8,225,7,4.1,8.6,113.3,3.942,0.522,5.543,4.086,0.298,2.708,0.149,0.7,4.63,11.3,0.025,0.014,0.0139,1.007,0.127,3.11
26.9,28.8,8.3,298,9.5,2,6.6,10.1,2.15,0.136,4.223,3.163,0.001,1.726,0.07,0.5,5.43,14.22,0.02,0.0157,0.0153,1.024,0.099,3.12
17.3,29.1,8.6,253,9.2,1.6,4.9,11.6,3.201,0.147,3.701,3.272,0.012,2.557,0.085,0.4,3.12,5.09,0.028,0.0114,0.0087,1.309,0.14,4.29
4,24.1,8.1,309,7.8,0.7,5,20.2,4.749,0.237,3.868,3.295,0.06,4.032,0.154,0.2,7.78,47.78,0.018,0.0156,0.0229,0.684,0.088,2.68
11.1,25.1,8.3,242,8.1,0.9,4.9,23.7,3.621,0.204,3.481,2.87,0.028,2.995,0.103,0.3,6.87,27.82,0.04,0.0155,0.0205,0.758,0.08,2.79
18.1,24.7,8.4,292,8,1.5,4.3,15.5,3.777,0.138,3.258,3.104,0.024,2.958,0.06,0.5,7.98,43.3,0.031,0.0166,0.0229,0.724,0.061,1.98
4.8,24.6,8,307,8,0.8,5.1,26,4.725,0.261,4.411,4.32,0.044,3.738,0.156,0.2,6.6,25.75,0.05,0.0151,0.0202,0.748,0.1,2.32
5.5,18.2,8.4,343,10.3,0.7,4.1,9.7,6.27,0.141,3.039,2.881,0.032,5.49,0.011,0.2,6.81,21.38,0.034,0.0141,0.0185,0.76,0.068,2.35
4.2,16,8.4,345,10.7,0.7,3.9,3.4,6.267,0.12,2.902,2.695,0.044,5.336,0.084,0.2,6.39,16.17,0.015,0.0138,0.0191,0.722,0.061,2.28
5.1,14.6,8.4,349,10.7,0.7,3.8,5.9,6.369,0.129,2.919,2.642,0.056,4.628,0.083,0.2,7.27,25.12,0.015,0.0142,0.0196,0.725,0.059,2.24
10.4,14.6,7.5,411,10.3,1,4,10.6,6.327,0.123,2.9,2.845,0.04,5.072,0.076,0.3,3.82,5.85,0.017,0.0105,0.0093,1.133,0.069,2.42
3.6,11.2,7.5,377,11.4,1.1,5.8,9.6,5.025,0.177,4.343,3.851,0.092,4.106,0.107,0.3,4.77,12.22,0.022,0.0089,0.0161,0.549,0.089,2.32
2,7,7.5,422,13.2,0.7,4.1,4.3,6.681,0.093,2.524,2.345,0.11,5.71,0.06,0.3,4.92,10.57,0.01,0.002,0.0154,0.131,0.038,1.64
6.2,7.1,7.7,426,13.4,1,4.1,8.1,6.75,0.12,2.842,2.441,0.049,5.84,0.034,0.4,8.4,42.88,0.026,0.0143,0.0238,0.603,0.051,2.11
3.6,6.6,7.7,472,13.4,1,4.2,4.1,7.866,0.078,2.69,2.519,0.177,6.578,0.029,0.4,4.99,14.95,0.009,0.0139,0.0282,0.491,0.017,0.68
3.1,4.6,7.6,452,14.1,1,3.9,7.2,7.362,0.075,2.3,2.189,0.104,6.29,0.02,0.4,8.41,45.98,0.025,0.0162,0.0232,0.698,0.05,2.27
20.6,8.3,7.5,408,11.4,5.2,7.8,64.5,6.89,0.38,5.247,3.941,0.653,4.476,0.114,1,5.08,13.02,0.051,0.0136,0.0154,0.881,0.101,2.56
1.7,3.7,7.7,390,12.8,0.8,3.9,7.2,7.8,0.145,2.799,2.405,0.238,6.108,0.083,0.3,6.91,20.45,0.032,0.0189,0.0178,1.062,0.064,2.67
2.7,1.8,7.7,625,15.4,1.2,3.9,5.4,8.382,0.111,2.994,2.537,0.682,6.212,0.054,0.4,8.52,36.98,0.023,0.0138,0.0224,0.615,0.045,1.78
3.6,3.7,7.7,408,13.5,0.8,3.3,11.1,8.605,0.145,2.943,2.153,0.547,5.756,0.049,0.3,7.32,26.73,0.02,0.0125,0.0199,0.63,0.039,1.81
5.8,4.4,7.6,648,12.5,1.7,5.2,11.2,8.28,0.14,3.684,3.268,0.65,5.91,0.063,0.5,5.67,13.67,0.033,0.0132,0.0155,0.849,0.066,2.01
2.9,7.7,7.4,564,11.6,8.8,5.9,4.4,8.025,0.13,3.12,2.583,0.14,6.324,0.01,2.8,6.94,21.9,0.026,0.0153,0.0195,0.783,0.052,2.02
1.9,7,7.5,387,12.6,1.3,5.5,14.6,7.293,0.186,3.828,3.253,0.296,6.072,0.093,0.3,5.92,18.27,0.039,0.0135,0.0176,0.764,0.079,2.42
4.5,7,7.6,394,12.5,0.8,4.3,17,8.343,0.159,2.557,2.519,0.343,6.414,0.053,0.3,4.86,11.96,0.034,0.0121,0.0144,0.835,0.069,2.73
1.4,6.8,7.8,411,13.3,1.5,4.1,8.2,7.506,0.105,2.992,2.426,0.302,5.334,0.043,0.5,5.12,13.96,0.035,0.013,0.0152,0.856,0.069,2.85
3.8,8.3,8,461,12.8,1.5,4.9,9,7.446,0.093,3.661,2.921,0.361,6.348,0.042,0.4,4.3,8.18,0.041,0.0125,0.0056,2.245,0.082,2.82
9.8,11.1,7.6,303,11.4,3.9,8.3,36.3,5.484,0.303,5.625,4.264,0.574,3.83,0.108,0.7,5.33,12.12,0.069,0.0165,0.0129,1.275,0.139,3.26
14.3,14,7.5,389,9.6,2.4,5.7,38,5.706,0.183,3.916,3.092,0.323,4.434,0.035,0.6,4.43,9.02,0.04,0.0129,0.0105,1.23,0.08,2.58
10,16.4,7.7,426,10.4,2,5.6,12.2,4.923,0.12,3.622,3.559,0.236,4.092,0.05,0.6,5.12,12.7,0.034,0.0139,0.0152,0.913,0.068,1.91
8.8,15.7,7.7,294,10.4,3.5,7.8,31.3,4.137,0.225,5.106,3.977,0.296,2.91,0.084,0.7,5.3,13.58,0.05,0.0144,0.0154,0.931,0.101,2.53
27.1,16.3,7.6,294,9.7,3.6,8.4,66.5,3.455,0.315,4.939,4.297,0.247,2.418,0.087,0.7,5.68,16.92,0.044,0.0156,0.0169,0.921,0.089,2.06
8.6,14.1,7.7,541,9.7,1.6,6.5,11,5.826,0.166,4.368,4.098,0.333,2.281,0.097,0.4,5.62,10.08,0.028,0.0178,0.0111,1.601,0.11,2.7
5.6,20.3,7.6,486,9.1,1.5,5.8,7.2,4.434,0.129,3.925,3.552,3.396,0.202,0.051,0.4,4.9,8.99,0.029,0.0182,0.0108,1.681,0.117,3.28
34,15.3,7.7,388,10.1,2.9,7.3,13.2,3.48,0.123,4.868,3.761,0.025,2.236,0.016,0.6,4.35,8.13,0.022,0.0142,0.0117,1.215,0.089,2.38
24.7,21.8,7.8,368,10.4,3.2,6.9,14,3.882,0.201,5.613,4.153,0.025,2.236,0.043,0.6,7.5,20.75,0.018,0.0175,0.0179,0.977,0.072,1.74
5,20,7.6,430,7.2,2.1,10.4,29.8,4.8,0.246,7.03,6.009,0.719,2.921,0.137,0.3,6.38,20.31,0.038,0.0168,0.0184,0.914,0.153,2.54
23.3,23.2,7.6,412,5.1,3.5,11.3,35.7,4.07,0.27,8.331,7.015,0.515,2.676,0.108,0.4,5.44,12.9,0.035,0.016,0.0143,1.117,0.173,2.46
8.9,24.6,7.7,363,6.8,3.1,11.2,81,4.02,0.515,7.401,6.089,0.318,2.327,0.191,0.4,5.15,12.77,0.036,0.0151,0.0149,1.007,0.179,2.94
9.5,24.1,7.7,433,7.4,1.3,6.5,16.4,2.022,0.156,5.17,4.254,0.104,1.271,0.048,0.3,7.5,29.59,0.019,0.0182,0.0207,0.876,0.093,2.19
13.3,27.1,7.7,462,6.5,1.9,8.7,30.3,2.75,0.28,6.493,5.616,0.137,1.544,0.131,0.3,6.34,18.13,0.028,0.0174,0.017,1.019,0.14,2.49
24.4,21.9,7.2,287,7,6.7,14.4,120,4.58,0.85,7.451,6.064,0.744,2.028,0.248,0.9,4.8,11.95,0.036,0.0145,0.0144,1.003,0.182,3
19.7,24.5,7.1,158,6.4,4.9,15.3,230,3.81,1.25,8.68,4.891,0.237,1.656,0.352,0.6,3.72,8.28,0.051,0.0116,0.0127,0.913,0.254,5.2
6.4,23.5,7.1,155,6.9,3,10.2,126,7.01,1.25,6.153,4.428,0.233,2.052,0.254,0.5,3.9,9.21,0.042,0.012,0.0133,0.903,0.21,4.74
7.8,26.2,7.3,388,7.6,1.5,6.4,22,6.64,0.21,5.041,4.253,0.165,4.684,0.177,0.3,7.86,33.51,0.022,0.0162,0.0215,0.754,0.109,2.56
19.9,29.2,7.4,376,8.1,1.3,5.8,24,3.939,0.231,4.931,3.938,0.073,2.93,0.144,0.3,4.62,9.84,0.027,0.0138,0.0128,1.074,0.135,3.43
18.1,26.6,7.4,421,7.1,1.8,6.2,13,5.14,0.23,4.706,4.019,0.219,4.062,0.145,0.4,6.6,21.27,0.023,0.0154,0.0185,0.832,0.113,2.81
10.6,23.6,7.3,289,7.4,2,7.8,51.6,4.425,0.45,4.873,4.112,0.142,3.051,0.239,0.4,5.39,16.78,0.027,0.0139,0.018,0.768,0.134,3.26
12.5,23.5,7.5,407,7.6,1.5,5.1,17.5,5.91,0.215,4.182,2.904,0.131,4.298,0.126,0.4,8.49,36.31,0.019,0.0161,0.0229,0.702,0.074,2.55
6.3,21.8,7.5,386,7.9,0.8,6,14.5,5.97,0.255,4.245,3.37,0.103,4.654,0.164,0.2,7.48,38.82,0.022,0.0148,0.0243,0.608,0.087,2.58
3.1,17.8,7.4,429,9.7,0.7,4.3,7.1,6.981,0.213,3.124,2.679,0.152,5.504,0.163,0.2,7.8,35.96,0.017,0.0145,0.0221,0.654,0.069,2.58
4,15.1,7.4,437,9.6,0.9,4.3,9.4,7.281,0.156,3.074,2.949,0.194,5.824,0.097,0.3,7.45,24.47,0.014,0.013,0.0254,0.51,0.056,1.89
4.5,14.4,7.5,425,9,1.1,4.1,7.1,6.987,0.15,3.213,2.219,0.101,5.89,0.107,0.3,4.04,6.24,0.017,0.0104,0.0098,1.061,0.068,3.07
2.7,11.9,7.5,413,10.9,0.9,4.9,7.8,5.739,0.162,3.509,3.211,0.112,4.96,0.107,0.3,5.33,14.99,0.018,0.0088,0.0178,0.494,0.071,2.22
1.7,7.8,7.4,437,11.6,0.8,4,5.4,8.112,0.111,2.692,2.58,0.179,6.444,0.073,0.3,4.95,10.35,0.012,0.0061,0.0144,0.426,0.046,1.8
3.3,5.3,7.5,584,11.6,8.4,6.8,7.3,8.715,0.189,3.199,3.002,0.361,6.442,0.117,2.6,6.58,18.3,0.021,0.0173,0.0161,1.078,0.082,2.73
2.5,4.9,7.4,475,11.9,1.4,9.2,9.2,8.298,0.12,2.859,2.468,0.208,6.662,0.054,0.5,6.61,22.63,0.014,0.0133,0.0206,0.644,0.056,2.27
16.6,6.5,7.5,435,11.2,2.1,4,11.2,7.65,0.205,4.391,3.855,0.282,5.142,0.114,0.5,4.92,10.35,0.029,0.0138,0.0132,1.042,0.114,2.96
2.2,3.8,7.7,411,12.2,1.5,4.2,10.8,8.51,0.155,3.311,2.84,0.318,6.728,0.092,0.5,7.05,22.19,0.036,0.019,0.0188,1.01,0.071,2.52
1.9,2.4,7.6,472,13.2,0.7,3.6,7.4,8.12,0.116,2.656,2.392,0.467,6.552,0.059,0.3,5.97,15.42,0.023,0.0117,0.0154,0.758,0.045,1.88
2.2,4.1,7.5,466,12,1.8,3.9,8.1,9.27,0.135,3.859,2.653,0.771,6.614,0.073,0.5,6.61,21.43,0.023,0.0126,0.0184,0.683,0.046,1.73
5.3,4.6,7.6,551,11.8,2.2,6.2,12.6,7.885,0.18,3.857,3.471,0.789,5.972,0.09,0.6,5.57,13.24,0.037,0.0132,0.0158,0.833,0.074,2.12
4.6,7.6,7.5,463,10.3,2.5,4.6,5.1,8.745,0.12,2.856,2.621,0.343,6.454,0.045,0.9,7.61,37.39,0.025,0.0139,0.0223,0.622,0.049,1.88
3,6.3,7.4,427,11.6,1.8,5.2,13,9.2,0.19,3.502,3.092,0.523,6.318,0.096,0.5,6.2,20.34,0.034,0.0133,0.0188,0.705,0.068,2.18
2.5,6.5,7.5,434,11.8,1.1,4.7,7.8,9.23,0.155,3.169,2.56,0.407,6.328,0.077,0.3,4.77,11.48,0.038,0.0115,0.0144,0.803,0.075,2.93
2.4,6.9,7.5,423,12.1,1.8,4.6,8.2,7.71,0.115,3.343,2.685,0.527,5.848,0.06,0.5,5.22,14.03,0.032,0.012,0.0156,0.771,0.065,2.41
3,6.9,7.6,550,11,3.2,6,9.4,8.89,0.185,4.712,3.689,0.517,6.588,0.069,0.7,4.47,8.15,0.051,0.013,0.011,1.185,0.102,2.76
8.5,9.4,7.5,362,10.4,4.1,7.8,20.2,6.835,0.26,5.155,4.324,0.532,4.594,0.112,0.8,5.93,19.62,0.047,0.0145,0.0186,0.783,0.095,2.2
9.5,14.4,7.5,471,8.4,2.6,6,14.7,6.835,0.26,3.902,3.388,0.375,5.63,0.056,0.7,4.61,8.64,0.046,0.0136,0.0114,1.199,0.092,2.71
6.6,18.2,7.7,378,9.8,3.1,8.4,23.7,5.12,0.27,6.053,5.066,0.33,3.79,0.128,0.5,5.17,13.5,0.066,0.0144,0.0156,0.922,0.133,2.62
9.5,19.3,7.7,512,9.7,2,6.5,7.9,4.458,0.146,5.098,4.096,0.324,1.596,0.074,0.4,5.25,10.84,0.021,0.0152,0.0128,1.183,0.085,2.07
8.6,21.4,8.3,588,12,1.8,6.8,3.9,4.35,0.141,4.641,4.273,2.958,0.345,0.093,0.4,4.61,9.7,0.027,0.0137,0.0125,1.097,0.107,2.51
13.7,16,8.7,753,13.6,2.9,7.8,4.9,4.416,0.117,5.471,4.832,0.145,2.08,0.052,0.5,4.82,9.38,0.034,0.0156,0.0121,1.283,0.136,2.82
30.3,24.1,9.6,489,17.7,3,9,9.9,3.444,0.135,6.745,5.928,0.145,2.08,0.043,0.4,6.24,18.83,0.031,0.0168,0.0172,0.973,0.125,2.11
4.2,21.1,7.8,528,7.6,2.6,10.7,15,4.836,0.21,7.428,6.598,0.642,2.693,0.127,0.4,6.71,22.13,0.043,0.0174,0.0186,0.933,0.171,2.59
14.4,24.6,7.8,471,6.9,5.2,11.6,23.8,4.3,0.355,8.64,7.183,0.846,2.194,0.139,0.6,5.37,12.21,0.039,0.016,0.0138,1.158,0.194,2.69
7.7,23.9,7.8,419,6.6,3.8,11.8,48.3,3.99,0.47,7.729,6.417,0.379,2.21,0.187,0.5,5.43,13.94,0.036,0.0155,0.0157,0.987,0.182,2.83
11.5,22.1,8,523,8.6,1.2,6.9,3.1,2.028,0.12,4.869,4.586,0.038,1.334,0.069,0.2,6.93,26.28,0.02,0.0173,0.0198,0.869,0.1,2.18
9.6,25.9,7.9,490,7.3,1.5,9,16.3,2.39,0.245,6.557,5.704,0.077,1.169,0.079,0.2,5.52,13.14,0.031,0.0163,0.0144,1.125,0.154,2.71
26.6,22.4,7.5,438,7.2,6.4,12.3,22.3,3.68,0.71,6.554,5.298,0.266,1.51,0.142,1,5.86,16.9,0.03,0.016,0.0165,0.967,0.149,2.81
20.9,23.8,7.2,160,7,8.3,18.9,225,4.34,1.46,8.834,4.574,0.174,1.47,0.297,0.9,3.75,8.4,0.049,0.0117,0.0125,0.936,0.244,5.34
6.1,23.6,7.3,178,7.5,3.2,9.3,72,7.99,0.93,6.796,4.385,0.238,2.266,0.203,0.5,3.98,10.46,0.037,0.0123,0.0154,0.794,0.185,4.21
7.1,26,7.4,384,7.5,1.4,5.6,12.6,6.66,0.275,4.539,4.026,0.207,5.326,0.159,0.3,7.78,39.6,0.02,0.0157,0.0218,0.723,0.099,2.46
10.7,29.3,7.5,439,7.1,0.9,6.2,8.5,4.725,0.195,4.589,3.994,0.085,3.738,0.151,0.2,4.69,10.59,0.026,0.0135,0.0138,0.983,0.129,3.23
16.4,29.6,8.1,479,7.7,0.9,5.4,5.7,3.83,0.188,4.064,3.393,0.046,3.256,0.146,0.2,7,26.4,0.019,0.0165,0.021,0.784,0.096,2.84
14,27,7.5,424,7.1,1.2,6.3,9.2,5.025,0.195,4.207,3.716,0.215,3.726,0.134,0.3,5.53,12.9,0.022,0.0149,0.0146,1.015,0.111,2.99
9.1,23.1,7.5,338,7.3,2.1,7.6,31.7,5.26,0.29,4.679,4.02,0.392,3.837,0.182,0.4,5.61,18.85,0.025,0.0139,0.0185,0.753,0.126,3.14
11.1,23.6,7.4,438,7.7,1,4.1,4.7,5.64,0.185,3.678,2.83,0.058,4.086,0.132,0.3,9.26,42.83,0.018,0.0163,0.0244,0.67,0.072,2.54
5.6,21.9,7.5,419,7.8,0.8,5.4,11.5,5.785,0.23,4.242,3.553,0.091,4.55,0.163,0.2,4.59,12.09,0.027,0.0123,0.0171,0.717,0.108,3.05
4.8,18.9,7.4,448,9.3,0.6,4.3,4.6,6.102,0.174,2.97,2.637,0.058,5.07,0.129,0.2,5.45,12.97,0.017,0.0118,0.018,0.654,0.068,2.58
4.3,16.5,7.5,430,9.7,0.9,4.5,10.3,6.294,0.141,3.154,3.092,0.035,5.258,0.096,0.3,5.98,14.44,0.015,0.0126,0.0184,0.684,0.059,1.92
4.3,15.1,7.5,451,9.8,0.7,3.8,4.2,5.946,0.114,2.872,2.797,0.078,5.19,0.078,0.2,6.97,32.53,0.014,0.0137,0.0203,0.677,0.056,2
6.5,14.7,7.6,454,9.3,0.9,3.8,3.4,6.507,0.126,2.759,2.558,0.075,5.364,0.084,0.3,4.84,8.23,0.015,0.0117,0.0122,0.964,0.06,2.34
4,12.8,7.6,470,10.3,0.7,4.6,4.8,5.46,0.132,3.078,2.934,0.086,4.934,0.093,0.2,5.91,22.31,0.014,0.0065,0.021,0.311,0.055,1.89
2.9,9,7.4,460,11.1,1.6,4.7,4.4,6.927,0.111,3.054,2.865,0.212,5.454,0.071,0.5,4.18,8.17,0.012,0.0032,0.0131,0.243,0.049,1.71
3.8,7.4,7.4,788,11.6,2.4,5.1,8.4,6.75,0.102,2.862,2.809,0.105,5.296,0.053,0.8,8.39,42.39,0.016,0.0167,0.0241,0.692,0.064,2.29
2.9,6.7,7.4,562,12.1,1.3,4.6,4.6,6.924,0.111,2.674,2.499,0.185,5.636,0.05,0.5,6.97,28.22,0.014,0.0146,0.021,0.695,0.058,2.3
8.7,7.8,7.5,468,11,1.7,3.9,8.4,5.925,0.14,4.032,3.756,0.122,4.36,0.082,0.4,7.55,27.7,0.021,0.0172,0.0206,0.834,0.085,2.27
4.6,5.6,7.9,459,11.7,1.2,4,6.8,7.24,0.12,2.923,2.511,0.257,6.036,0.068,0.4,8.02,27.69,0.035,0.0215,0.0201,1.068,0.071,2.82
4.1,3.6,7.4,516,13.2,1,3.8,5.6,7.376,0.112,2.803,2.652,0.226,6.014,0.044,0.4,6.12,17.46,0.026,0.0125,0.0174,0.72,0.052,1.96
3.7,4.8,7.7,514,12.4,1.5,3.9,5.4,7.67,0.12,2.888,2.516,0.29,5.998,0.055,0.5,6.78,23.46,0.024,0.0133,0.0195,0.684,0.048,1.9
5.8,5.8,7.6,584,11.7,2.4,5.3,5.4,6.57,0.135,3.872,3.694,0.274,5.18,0.066,0.6,4.43,8.6,0.047,0.0133,0.0118,1.131,0.094,2.56
8.4,8,7.5,476,11.2,1.5,4.5,3.7,7.105,0.115,2.82,2.469,0.363,5.388,0.046,0.5,6.45,18.71,0.026,0.0133,0.0175,0.76,0.052,2.12
2.7,7.4,7.5,452,11.4,1.1,4.7,6.6,7.9,0.135,3.32,2.992,0.3,5.792,0.075,0.3,6.53,22.77,0.033,0.0137,0.0194,0.709,0.066,2.21
4.4,7.9,7.7,472,11.4,0.9,4.4,5.2,8.345,0.13,3.052,2.551,0.344,5.804,0.055,0.3,5.06,13.48,0.036,0.0124,0.015,0.827,0.072,2.82
1.5,8.8,7.5,516,11.6,3,5.3,5,8.36,0.165,3.676,3.061,0.438,5.682,0.076,0.8,5.1,13.02,0.04,0.0143,0.0146,0.984,0.081,2.64
6.9,9.5,7.6,537,11.8,2.3,5.8,5.4,8.49,0.15,4.258,3.53,0.346,5.704,0.054,0.5,5.63,12.71,0.042,0.0143,0.0146,0.979,0.085,2.4
13.3,11.2,7.6,406,10.7,3,7.5,10.2,6.235,0.18,5.946,4.192,0.236,4.186,0.083,0.5,5.29,13.64,0.051,0.0141,0.0162,0.873,0.101,2.42
20.1,13.9,7.6,506,9.9,2.9,6.8,17.3,6.235,0.18,4.276,3.365,0.288,5.206,0.063,0.7,5.28,12.64,0.037,0.0139,0.0147,0.941,0.075,2.22
8.4,17.6,7.5,423,8.8,2.4,7.8,16,4.845,0.235,6.082,5.202,0.283,3.718,0.113,0.4,5.12,13.41,0.062,0.0139,0.0157,0.885,0.123,2.37
9.7,17.2,7.9,468,11.7,3.3,8.4,10.6,7.83,0.226,5.637,5.074,0.703,2.965,0.146,0.6,4.79,9.42,0.026,0.0132,0.0121,1.093,0.103,2.03
7.8,23,8.1,581,11.1,2.6,9,6,6.072,0.201,5.551,5.536,4.108,0.562,0.126,0.5,4.17,8.01,0.032,0.0134,0.0109,1.228,0.129,2.33
8.5,17,8.1,539,11.7,3.1,9.7,5.1,6.234,0.177,6.555,5.398,0.037,3.688,0.082,0.5,5.5,11.33,0.039,0.0177,0.012,1.476,0.158,2.92
17.5,25.3,9.1,516,15.6,2.7,9,8.2,4.911,0.126,6.68,5.756,0.037,3.688,0.035,0.4,5.21,13.4,0.028,0.0158,0.0144,1.097,0.111,1.93
3.9,21.1,7.9,478,8.6,2.9,11.7,24,5.364,0.264,8.073,7.072,0.718,3.194,0.157,0.4,6.26,19.06,0.042,0.0166,0.018,0.926,0.166,2.35
9.2,24,8.1,555,9.2,3.4,12.1,16,5.42,0.285,8.63,7.781,1.07,2.898,0.176,0.4,5.93,15.86,0.037,0.0164,0.016,1.024,0.186,2.4
5.5,25,8,438,7.6,2.6,11,27.2,4.28,0.335,8.206,6.778,0.304,2.46,0.199,0.3,5.46,13.33,0.039,0.0159,0.0151,1.054,0.196,2.89
12.2,22.5,7.9,509,9.6,2,8.4,6.7,3.342,0.159,5.741,5.228,0.233,2.356,0.071,0.3,6.14,21.43,0.022,0.016,0.0185,0.864,0.109,2.09
12.2,24.8,7.9,466,8.9,1.6,9.2,28.4,3.455,0.31,6.74,5.745,0.127,1.877,0.175,0.2,6.1,16.13,0.03,0.017,0.0161,1.055,0.152,2.64
34.4,21.2,7.4,265,7.5,11,15.8,64,5.51,1.075,8.983,6.675,1.242,2.416,0.368,1.2,4.63,11.31,0.041,0.0139,0.0145,0.961,0.206,3.08
16.6,23.7,7.3,182,6.7,6.4,15.7,188.8,5.06,1.18,8.523,5.6,1.188,1.732,0.429,0.8,3.84,9.05,0.056,0.0118,0.0133,0.887,0.28,5
6.1,23,7.2,155,7.2,2.7,10.7,110,6.95,1.18,7.239,4.517,0.181,2.055,0.254,0.4,3.78,8.86,0.046,0.0119,0.0133,0.899,0.229,5.06
5.8,26,7.3,337,7.4,1.4,6.8,26.8,6.15,0.255,5.772,4.385,0.055,3.875,0.19,0.2,7.31,39.88,0.023,0.0162,0.0228,0.71,0.114,2.59
12.6,28.6,7.6,361,9.1,0.9,6.1,4.4,4.128,0.216,4.43,4.14,0.047,3.184,0.168,0.2,4.46,9.54,0.029,0.0134,0.013,1.026,0.146,3.53
10.4,28.7,8.1,375,9.2,1,6.3,3,3.49,0.216,4.52,4.103,0.081,2.891,0.17,0.2,6.34,24.13,0.022,0.0157,0.0194,0.811,0.11,2.68
5.5,26.7,7.5,308,8.1,1,5.2,8.9,4.292,0.222,4.127,3.819,0.041,3.535,0.177,0.2,3.45,6.29,0.037,0.0115,0.0107,1.081,0.186,4.86
10.7,27,7.6,373,8.3,1.7,7,8,5.27,0.26,4.984,4.342,0.095,3.864,0.182,0.3,5.14,11.84,0.026,0.0145,0.0146,0.991,0.13,2.98
5.9,23.3,7.4,368,7.5,1.9,7.3,30.3,4.9,0.335,4.764,4.202,0.14,3.913,0.201,0.4,5.84,19.13,0.026,0.0147,0.018,0.817,0.128,3.05
8.9,22.9,7.5,387,8.3,1.2,5,4.7,6.415,0.21,3.859,3.371,0.134,4.92,0.152,0.3,7.54,39.71,0.018,0.0139,0.0283,0.492,0.071,2.12
4.8,21.5,7.5,361,8.1,1.1,6,14.8,6.195,0.26,4.436,3.662,0.141,4.764,0.173,0.2,4.12,7.64,0.029,0.0112,0.0124,0.901,0.114,3.12
4.9,19.3,7.4,368,9.8,0.7,4.3,5.6,7.206,0.177,3.054,2.803,0.125,6.18,0.137,0.2,8.14,36.2,0.018,0.0147,0.0226,0.651,0.072,2.58
6.5,15.9,7.4,384,10.5,1.2,5.3,46.7,7.278,0.261,4.447,3.472,0.142,6.044,0.141,0.3,5.68,14.48,0.018,0.0123,0.0181,0.682,0.072,2.07
4.4,13,7.6,392,10.4,1.5,5.9,41.1,6.276,0.213,4.006,3.462,0.237,5.376,0.104,0.4,5.05,14.38,0.018,0.0079,0.0174,0.453,0.072,2.09
